spu_id	spu_name	Class
SPU_007958	Sp-Fam55cL	NONE
SPU_007994	none	NONE
SPU_008019	Sp-CopineL	NONE
SPU_008026	Sp-Ablim1	NONE
SPU_008064	none	NONE
SPU_008064	none	NONE
SPU_008080	Sp-B4galt6	Metabolism
SPU_008088	Sp-Hypp_1765	NONE
SPU_008089	Sp-Vps8h	NONE
SPU_008101	Sp-Fam78a	NONE
SPU_008121	Sp-Slob	Kinase
SPU_008174	none	"Immunity,Signaling,TF"
SPU_008305	Sp-Pdpi(cyclophilin)L7	Biomineralization
SPU_008472	Sp-PlexA4_2	Adhesion
SPU_008472	Sp-PlexA4_2	Adhesion
SPU_008505	Sp-Cys_rich_fgfr	NONE
SPU_008560	Sp-Hsp702A	"CalciumToolkit,Defensome"
SPU_008613	Sp-Fbn2L_1	NONE
SPU_008642	Sp-Srcr71	Immunity
SPU_008673	Sp-Sema6	Adhesion
SPU_008673	Sp-Sema6	Adhesion
SPU_008678	Sp-Pkcd	"EggActivation,Kinase"
SPU_008678	Sp-Pkcd	"EggActivation,Kinase"
SPU_008687	Sp-Hypp_35	NONE
SPU_008819	none	NONE
SPU_008857	Sp-Timp3b	NONE
SPU_008863	Sp-Timp3	NONE
SPU_008863	Sp-Timp3	NONE
SPU_008864	Sp-Timp2d	NONE
SPU_008865	Sp-Timp4	NONE
SPU_008952	Sp-Hypp_3004	NONE
SPU_008958	Sp-Hypp_3005	NONE
SPU_008985	none	NONE
SPU_009035	Sp-Hypp_566	NONE
SPU_009036	Sp-Lrrka	Kinase
SPU_009036	Sp-Lrrka	Kinase
SPU_009076	Sp-6Afcol	"Adhesion,Biomineralization"
SPU_009076	Sp-6Afcol	"Adhesion,Biomineralization"
SPU_009119	Sp-PppL_252	NONE
SPU_009119	Sp-PppL_252	NONE
SPU_009123	Sp-Nebnph	NONE
SPU_009123	Sp-Nebnph	NONE
SPU_009155	Sp-Ctnnb	Signaling
SPU_009164	Sp-Hsp701E	"CalciumToolkit,Defensome"
SPU_009178	Sp-FoxO	TF
SPU_009210	Sp-Pdcd6ip_2	NONE
SPU_009257	Sp-Phldb2	NONE
SPU_009311	Sp-Ttrspn_6	NONE
SPU_009352	none	NONE
SPU_009354	Sp-Srcr75	Immunity
SPU_009476	Sp-Hsp70L_2	Defensome
SPU_009476	Sp-Hsp70L_2	Defensome
SPU_009481	Sp-CskaI	Cytoskeleton
SPU_009549	none	NONE
SPU_009601	Sp-Cts4	Immunity
SPU_009601	Sp-Cts4	Immunity
SPU_009683	Sp-Wdr47	NONE
SPU_009723	Sp-Sgarp2	NONE
SPU_009733	Sp-Nadsyn1_3	NONE
SPU_009775	Sp-Sult1a4	Defensome
SPU_009796	none	NONE
SPU_009871	Sp-Slc10a2_6	Metabolism
SPU_009874	none	NONE
SPU_009875	Sp-AgrnL_1	NONE
SPU_009915	none	Adhesion
SPU_009922	Sp-Cys_rich_fgfr_1	NONE
SPU_009924	Sp-Mmp18/19L5	Metalloprotease
SPU_009949	Sp-Ef1a_1	GTPase
SPU_009949	Sp-Ef1a_1	GTPase
SPU_009953	none	"Adhesion,Adhesion"
SPU_009977	Sp-Radil_1	NONE
SPU_010032	Sp-C6st_1	Adhesion
SPU_010032	Sp-C6st_1	Adhesion
SPU_010054	Sp-My18A putative homolog	Cytoskeleton
SPU_010062	Sp-Srcr83	Immunity
SPU_010157	Sp-Tm9sf2_1	NONE
SPU_010169	Sp-Hypp_1901	NONE
SPU_010203	Sp-Yp301	Oogenesis
SPU_010288	Sp-Tmem26_3	NONE
SPU_010424	Sp-Otx	"Nervous,TF"
SPU_010535	Sp-LacL_2	Metabolism
SPU_010545	Sp-Racl1	GTPase
SPU_010554	Sp-Sarl/CoAds	Metabolism
SPU_010564	Sp-Slit(N-terminus)	"Adhesion,Adhesion"
SPU_010567	Sp-Kcnk18	Metabolism
SPU_010567	Sp-Kcnk18	Metabolism
