Geneid,ACC1,ACC2,ACC3,ACC4,ACC5,ACC6,ACC7,ACC8,ACV1,ACV2,ACV3,ACV4,ACV5,ACV6,ACV7,ACV8,AVV10,AVV3,AVV4,AVV5,AVV6,AVV7,AVV8,AVV9
AlixG047406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AlixG047442,0,0,11,0,2,0,2,35,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1
AlixG047158,107,37,45,80,46,17,86,6,71,22,22,124,66,5,32,145,173,33,96,37,101,18,75,195
AlixG047156,2179,757,675,1675,659,236,280,535,1000,892,806,1461,2327,2041,1901,1419,515,1900,1318,1816,1914,2239,1379,1837
AlixG047157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046874,280,285,20,233,87,111,12,17,385,331,578,121,89,58,48,77,458,146,182,216,127,61,29,226
AlixG046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlixG046942,8,22,0,5,35,10,1,2,0,0,34,7,7,0,9,2,0,0,4,3,0,1,1,24
AlixG046943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AlixG046945,40,37,2,0,0,0,8,8,0,1,13,13,50,31,84,15,0,62,5,20,5,53,37,14
AlixG047191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047307,7,0,7,160,424,61,0,6,113,3,831,4,13,6,0,16,330,24,171,6,128,37,20,8
AlixG047308,1,0,0,18,19,5,0,0,1,0,40,0,0,1,1,4,15,0,10,0,7,0,2,0
AlixG047152,2301,2484,1097,1593,1204,502,1261,322,2507,1676,2060,1985,2266,2908,875,1273,886,2028,1862,2250,1084,2094,2799,2124
AlixG047558,0,3,0,0,23,2,0,0,1,6,0,2,0,0,165,0,2,2,0,0,49,3,11,3
AlixG047669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047458,2,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,3,4,0,4,2
AlixG047459,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AlixG047456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG046846,235,667,202,128,240,196,24,41,297,486,243,165,285,434,1291,390,648,547,371,404,413,511,459,809
AlixG046847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG047542,0,4,0,2,5,0,0,1,1,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0
AlixG047541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017548,145,86,217,643,184,177,6,56,260,4,154,832,95,623,275,343,654,504,798,339,924,687,1592,1440
AlixG017549,67,45,144,228,301,179,99,141,193,95,409,398,208,761,357,293,289,686,897,318,566,1249,1460,774
AlixG017547,131,285,28,409,99,64,0,63,195,11,677,141,24,51,56,117,310,437,1069,1599,150,16,2934,87
AlixG017542,7,7,3,44,35,38,6,32,125,29,2,66,135,19,30,1,1,42,72,10,37,90,57,34
AlixG017503,156,74,46,997,965,78,83,161,1511,115,2550,288,170,140,81,71,1338,97,624,110,593,131,122,132
AlixG017553,0,26,2,0,0,0,1,0,0,3,0,16,0,0,3,0,0,0,1,0,0,0,106,2
AlixG017507,461,322,141,124,231,70,59,128,575,254,454,209,528,531,328,357,407,415,508,412,390,467,397,219
AlixG017506,962,512,322,1144,358,144,342,209,686,389,1300,881,863,796,557,474,349,776,459,325,585,1460,629,488
AlixG017517,478,649,324,158,272,248,50,106,421,312,295,319,736,261,1193,711,481,624,433,453,751,625,632,656
AlixG017508,624,397,192,132,283,133,81,120,740,339,402,208,697,717,351,443,415,370,544,554,503,451,465,379
AlixG017501,551,188,214,350,151,267,107,141,311,292,263,478,435,429,332,281,260,441,344,258,548,872,398,539
AlixG017511,10,12,22,2,6,0,0,2,0,0,88,20,5,16,1,4,22,9,1,4,2,6,0,21
AlixG017514,904,800,606,226,487,80,97,285,959,580,1123,858,2752,1981,1520,524,577,2498,2618,2810,1609,3698,4564,1899
AlixG017500,713,1150,224,1792,1002,577,533,336,1817,678,2969,694,150,509,2516,484,3836,481,709,597,482,800,923,390
AlixG017519,2683,3331,783,1976,2166,4970,246,658,3149,4424,2777,1220,1871,1190,2642,5530,3749,3466,3679,4150,3854,1969,1849,2780
AlixG017551,601,24,572,242,1020,68,98,19,174,73,68,2082,41,242,2729,24,2707,111,310,18,1069,1226,241,596
AlixG017550,17,31,48,76,122,21,25,61,160,14,165,17,110,153,86,122,47,107,41,22,69,48,220,56
AlixG017541,3070,2698,462,321,102,2360,303,94,460,1787,375,199,899,428,710,2123,328,2247,506,1534,723,873,384,1164
AlixG017510,188,248,198,190,253,50,97,280,387,263,471,220,277,453,534,627,432,248,671,404,475,418,353,451
AlixG017533,2219,3276,421,548,565,2102,239,131,329,2682,506,204,865,545,834,1423,547,1615,1148,2585,1062,1446,481,2293
AlixG017534,2778,4473,954,864,1461,2102,307,111,606,3266,526,374,1563,1674,4126,3261,3035,3925,1279,3348,1712,2725,1808,3421
AlixG017522,2634,2682,478,970,522,1450,261,442,1071,1283,719,1068,1015,1138,904,1765,981,2098,1136,1698,1263,1687,1567,2308
AlixG017540,4879,2168,1404,994,1490,982,1578,734,1115,2304,629,911,3020,2946,913,1563,1467,3475,1581,1357,1312,2152,2362,2452
AlixG017532,12,0,69,23,76,20,3,5,72,18,5,32,90,17,420,85,439,170,28,134,69,76,94,127
AlixG017521,345,496,139,253,530,413,95,84,689,414,589,296,425,396,302,235,1045,373,559,471,503,416,503,342
AlixG017554,279,251,87,142,306,75,27,109,221,122,201,45,324,243,1014,282,535,315,193,351,263,299,374,359
AlixG017538,691,1438,303,269,154,863,628,130,363,1878,283,139,362,704,339,1861,371,2101,768,1714,320,676,674,1194
AlixG017545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,3,3
AlixG017502,29,6,2,20,8,0,4,3,5,5,22,0,10,2,0,0,8,9,4,20,31,0,1,22
AlixG017504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017505,29,37,18,18,40,21,19,9,68,42,25,48,53,45,48,35,43,43,40,35,18,66,54,22
AlixG017509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AlixG017512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017520,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AlixG017523,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,1,0,1,0,0,1,16,0
AlixG017524,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,21,1
AlixG017525,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,2,1,3,1,0,0,1,10,0
AlixG017528,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017530,0,0,18,5,0,0,0,0,12,0,0,0,33,5,244,0,131,0,0,54,0,0,46,0
AlixG017531,0,0,2,0,0,0,0,0,2,0,0,0,5,0,8,0,1,0,0,1,0,0,4,0
AlixG017539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AlixG017546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AlixG017518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017526,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,0,4,0
AlixG017527,0,0,6,0,2,0,0,0,30,5,0,0,3,55,27,0,3,0,0,17,0,0,49,5
AlixG017535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
AlixG017544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017770,32823,30052,6082,12894,34781,13240,6050,6838,21686,25355,18981,30290,8549,16990,8224,21960,29054,20637,19564,20546,17895,18382,16598,20181
AlixG017739,0,0,1,86,2,0,1,6,155,1,153,1,1,0,1,0,79,2,121,2,252,8,5,6
AlixG017732,372,441,88,154,129,279,23,132,168,428,239,415,229,225,217,427,195,429,455,477,307,396,343,327
AlixG017733,3,4,28,719,643,10,26,43,957,0,857,47,2,13,1,25,509,1,339,19,251,45,13,19
AlixG017743,1104,612,404,259,224,385,97,231,518,719,369,195,673,824,707,951,631,1201,464,966,644,799,730,1350
AlixG017749,10,0,0,6,3,4,0,6,0,1,0,0,0,4,0,1,4,3,6,17,1,3,2,2
AlixG017750,871,518,246,187,165,238,77,126,394,700,287,139,453,577,460,624,322,1067,382,870,438,549,479,951
AlixG017763,1781,3211,240,876,419,734,253,140,1842,2525,314,98,932,176,197,985,272,1177,742,1086,182,1211,439,692
AlixG017767,229,56,36,92,389,9,12,58,70,66,104,701,41,60,81,48,30,53,62,73,61,108,116,90
AlixG017736,160,324,193,105,201,218,68,181,281,303,292,542,498,372,299,194,242,424,412,355,309,324,300,151
AlixG017738,2278,552,716,2101,803,653,690,317,1127,532,1288,3043,1707,1047,588,894,393,2282,1310,1190,2123,1543,1305,1254
AlixG017741,961,2005,17,92,245,439,25,42,196,1750,44,90,125,33,392,434,158,719,303,579,246,106,148,217
AlixG017737,477,914,192,198,163,302,77,244,467,389,477,347,621,797,576,398,411,1043,742,883,573,1107,621,697
AlixG017768,2745,2868,168,549,991,1526,79,222,2266,3261,2487,134,297,380,232,2105,3861,1483,906,2437,1229,537,335,2713
AlixG017748,1102,1453,331,684,2295,358,1198,503,859,946,873,1178,1064,1031,943,577,384,1068,459,885,486,868,781,796
AlixG017731,61,122,41,90,95,25,21,36,196,67,149,41,168,149,123,17,110,123,172,103,156,92,133,112
AlixG017752,1761,3659,231,711,432,835,331,106,2215,3062,238,176,1115,198,237,1361,271,1795,589,1210,242,1104,654,726
AlixG017735,0,0,187,6127,7164,0,103,524,13805,0,18434,111,0,29,0,29,12614,12,5880,6,5390,2,9,0
